982312,1517458,-535686,1396,-25,-16,-25,-10,-18,-16,-18,284677
982291,1517253,-537756,1417,16,5,16,-142,-79,5,-79,284646
982240,1517664,-539718,1424,-6,2,-6,-118,1,2,1,284670
982367,1517453,-541519,1351,50,-66,50,-15,46,-66,46,284618
982548,1518823,-543638,1282,-89,99,-89,-63,101,99,101,284572
982668,1517284,-545345,1313,-122,-73,-122,-139,-133,-73,-133,284513
982293,1516238,-547407,1205,-15,-139,-15,24,-18,-139,-18,284576
982253,1516838,-549431,1359,-3,-35,-3,11,0,-35,0,284624
982116,1516931,-551425,1398,-29,-27,-29,-79,-51,-27,-51,284629
982303,1518532,-553347,1273,-88,13,-88,-29,5,13,5,284665
982372,1516657,-555203,1344,43,-2,43,-76,11,-2,11,284674
982163,1518109,-557366,1364,6,-96,6,32,-9,-96,-9,284464
981980,1517752,-559295,1376,-24,-48,-24,-7,-16,-48,-16,284614
982006,1517862,-561148,1395,-47,-15,-47,-91,-5,-15,-5,284652
981813,1516167,-563065,1380,-127,-20,-127,-350,-49,-20,-49,284652
981512,1518041,-564983,1291,46,-48,46,8,14,-48,14,284662
981494,1516901,-566677,1385,-23,-24,-23,-255,-104,-24,-104,284631
981458,1515962,-568532,1413,6,-3,6,2,-29,-3,-29,284664
981310,1515380,-570375,1406,-10,-13,-10,21,-18,-13,-18,284687
981314,1515171,-572246,1407,3,6,3,9,-6,6,-6,284672
981207,1514753,-574027,1420,-17,4,-17,-259,24,4,24,284674
981024,1514708,-575853,1393,-43,-6,-43,-17,-5,-6,-5,284673
