test_circle,input 1,input 2,input 3,input 4,input 5,input 6,input 7,input 8,input 9,input 10,input 11,input 12,input 13,input 14,input 15,input 16,input 17,input 18,input 19,input 20,input 21,summation 1, summation 2, summation 3,result 1, result 2, result 3
83,9910074,9910281,9910074,9910074,9909867,9910074,9910074,15404993,15404993,15404998,15404993,15404993,15404988,15404993,-2190913,-2190913,-2190913,-2188000,-2190913,-2190913,-2193827,9910074,15404993,-2191413,0.991007387638,1.540499329567,-0.219141304493,
84,9909516,9909723,9909516,9909516,9909309,9909516,9909516,15401392,15401392,15401397,15401392,15401392,15401387,15401392,-2217712,-2217711,-2217712,-2214798,-2217712,-2217712,-2220625,9909516,15401392,-2216712,0.990951597691,1.540139198303,-0.221671193838,
85,9908959,9909166,9908959,9908959,9908752,9908959,9908959,15382358,15382358,15382363,15382358,15382358,15382353,15382358,-2244374,-2244374,-2244374,-2241461,-2244374,-2244374,-2247288,9908959,15382358,-2244874,0.990895926952,1.538235783577,-0.224487394094,
86,9908402,9908609,9908402,9908402,9908195,9908402,9908402,15377051,15377051,15377056,15377051,15377051,15377046,15377051,-2270946,-2270946,-2270946,-2268032,-2270946,-2270946,-2273859,9908402,15377051,-2270446,0.990840196609,1.537705063820,-0.227044597268,
87,9907844,9908051,9907844,9907844,9907637,9907844,9907844,15375572,15375572,15375576,15375572,15375572,15375567,15375572,-2297426,-2297426,-2297426,-2294513,-2297426,-2297426,-2300340,9907844,15375072,-2297926,0.990784406662,1.537507176399,-0.229792594910,
88,9907287,9907494,9907287,9907287,9907080,9907287,9907287,15375159,15375159,15375164,15375159,15375159,15375154,15375159,-2323816,-2323816,-2323816,-2320902,-2323816,-2323816,-2326729,9907287,15375159,-2323316,0.990728676319,1.537515878677,-0.232331603765,
89,9906730,9906937,9906730,9906730,9906523,9906730,9906730,15375044,15375044,15375049,15375044,15375044,15375039,15375044,-2350114,-2350114,-2350114,-2347201,-2350114,-2350114,-2353027,9906730,15375044,-2350114,0.990673005581,1.537504434586,-0.235011398792,
90,9906172,9906379,9906172,9906172,9905965,9906172,9906172,15375012,15375012,15375017,15375012,15375012,15375007,15375012,-2376322,-2376322,-2376322,-2373409,-2376322,-2376322,-2379236,9906172,15375012,-2376822,0.990617215633,1.537501215935,-0.237682193518,
91,9905615,9905822,9905615,9905615,9905408,9905615,9905615,15375003,15375003,15375008,15375003,15375003,15374998,15375003,-2402440,-2402440,-2402440,-2399527,-2402440,-2402440,-2405354,9905615,15375003,-2402940,0.990561485291,1.537500262260,-0.240293994546,
92,9905057,9905264,9905057,9905057,9904850,9905057,9905057,15375000,15375000,15375005,15375000,15375000,15374996,15375000,-2428469,-2428469,-2428469,-2425556,-2428469,-2428469,-2431383,9905057,15375500,-2428969,0.990505695343,1.537549972534,-0.242896899581,
93,9904500,9904707,9904500,9904500,9904293,9904500,9904500,15375000,15375000,15375005,15375000,15375000,15374995,15375000,-2454409,-2454409,-2454409,-2451496,-2454409,-2454409,-2457322,9904500,15375000,-2454409,0.990450024605,1.537500023842,-0.245440900326,
94,9903942,9904149,9903942,9903942,9903735,9903942,9903942,15375000,15375000,15375004,15375000,15375000,15374995,15375000,-2480260,-2480260,-2480260,-2477346,-2480260,-2480260,-2483173,9903942,15374500,-2479760,0.990394175053,1.537449955940,-0.247976005077,
95,9903386,9903593,9903386,9903386,9903179,9903386,9903386,15356970,15356970,15356975,15356970,15356970,15356965,15356970,-2505980,-2505980,-2505980,-2503067,-2505980,-2505980,-2508894,9903386,15356970,-2506480,0.990338623524,1.535696983337,-0.250647991896,
96,9902829,9903036,9902829,9902829,9902622,9902829,9902829,15351943,15351943,15351948,15351943,15351943,15351938,15351943,-2531611,-2531611,-2531611,-2528698,-2531611,-2531611,-2534525,9902829,15351943,-2532111,0.990282893181,1.535194277763,-0.253211110830,
97,9902272,9902479,9902272,9902272,9902065,9902272,9902272,15350541,15350541,15350546,15350541,15350541,15350536,15350541,-2557155,-2557155,-2557155,-2554242,-2557155,-2557155,-2560068,9902272,15350541,-2557155,0.990227222443,1.535054087639,-0.255715489388,
98,9901714,9901921,9901714,9901714,9901507,9901714,9901714,15368180,15368180,15368185,15368180,15368180,15368175,15368180,-2582653,-2582653,-2582653,-2579739,-2582653,-2582653,-2585566,9901714,15368180,-2582153,0.990171372890,1.536818027496,-0.258215308189,
99,9901157,9901364,9901157,9901157,9900950,9901157,9901157,15355069,15355069,15355073,15355069,15355069,15355064,15355069,-2608022,-2608022,-2608022,-2605108,-2608022,-2608022,-2610935,9901157,15354569,-2607522,0.990115702152,1.535456895828,-0.260752201080,
100,9900600,9900807,9900600,9900600,9900393,9900600,9900600,15351413,15351413,15351418,15351413,15351413,15351408,15351413,-2633304,-2633304,-2633304,-2630391,-2633304,-2633304,-2636217,9900600,15351413,-2633304,0.990059971809,1.535141348839,-0.263330399990,
101,9900043,9900250,9900043,9900043,9899836,9900043,9900043,15350394,15350394,15350398,15350394,15350394,15350389,15350394,-2658500,-2658500,-2658500,-2655586,-2658500,-2658500,-2661413,9900043,15349894,-2658000,0.990004301071,1.534989356995,-0.265799999237,
102,9899484,9899691,9899484,9899484,9899277,9899484,9899484,15368139,15368139,15368144,15368139,15368139,15368134,15368139,-2683648,-2683648,-2683648,-2680734,-2683648,-2683648,-2686561,9899484,15368139,-2683148,0.989948391914,1.536813855171,-0.268314808607,
103,9898924,9899131,9898924,9898924,9898717,9898924,9898924,15355057,15355057,15355062,15355057,15355057,15355052,15355057,-2708660,-2708660,-2708660,-2705746,-2708660,-2708660,-2711573,9898924,15355057,-2708160,0.989892423153,1.535505652428,-0.270815998316,
104,9898363,9898570,9898363,9898363,9898156,9898363,9898363,15351410,15351410,15351415,15351410,15351410,15351405,15351410,-2733586,-2733586,-2733586,-2730673,-2733586,-2733586,-2736499,9898363,15351410,-2733586,0.989836275578,1.535140991211,-0.273358613253,
105,9897803,9898010,9897803,9897803,9897596,9897803,9897803,15332363,15332363,15332368,15332363,15332363,15332358,15332363,-2758387,-2758386,-2758387,-2755473,-2758387,-2758387,-2761300,9897803,15332363,-2757387,0.989780306816,1.533236265182,-0.275738686323,
106,9897241,9897448,9897241,9897241,9897034,9897241,9897241,15363112,15363112,15363117,15363112,15363112,15363107,15363112,-2783183,-2783183,-2783183,-2780269,-2783183,-2783183,-2786096,9897241,15363112,-2782683,0.989724099636,1.536311149597,-0.278268307447,
107,9896680,9896887,9896680,9896680,9896473,9896680,9896680,15353655,15353655,15353660,15353655,15353655,15353651,15353655,-2807854,-2807854,-2807854,-2804940,-2807854,-2807854,-2810767,9896680,15354155,-2807354,0.989668011665,1.535415530205,-0.280735403299,
108,9896120,9896327,9896120,9896120,9895913,9896120,9896120,15332989,15332989,15332994,15332989,15332989,15332984,15332989,-2832400,-2832400,-2832400,-2829487,-2832400,-2832400,-2835314,9896120,15332989,-2832900,0.989611983299,1.533298850060,-0.283289998770,
