test_circle,input 1,input 1,,input 2,input 2,,input 3,input 3,,input 4,input 4,,input 5,input 5,,input 6,input 6,,input 7,input 7,,input 8,input 8,,input 9,input 9,,input 10,input 10,,input 11,input 11,,input 12,input 12,,input 13,input 13,,input 14,input 14,,input 15,input 15,,input 16,input 16,,input 17,input 17,,input 18,input 18,,input 19,input 19,,input 20,input 20,,input 21,input 21,,summation 1,summation 1,, summation 2, summation 2,, summation 3, summation 3,
,PC,BMS,diff,,,diff,,,diff,,,diff,,,diff,,,diff,,,diff,,,diff,,,diff,,,diff,,,diff,,,diff,,,diff,,,diff,,,diff,,,diff,,,diff,,,diff,,,diff,,,diff,,,diff,,,diff,,,diff,,,diff
34,9937479,9937479,0,9937686,9937686,0,9937479,9937479,0,9937479,9937479,0,9937272,9937272,0,9937479,9937479,0,9937479,9937479,0,15655766,15655766,0,15655766,15655766,0,15655771,15655771,0,15655766,15655766,0,15655766,15655766,0,15655761,15655761,0,15655766,15655766,0,-748596,-748596,0,-748596,-748596,0,-748596,-748596,0,-745683,-745683,0,-748596,-748596,0,-748596,-748596,0,-751510,-751510,0,9937479,9937479,0,15655766,15655766,0,-749096,-749096,0
35,9936916,9936916,0,9937123,9937123,0,9936916,9936916,0,9936916,9936916,0,9936709,9936709,0,9936916,9936916,0,9936916,9936916,0,15669637,15669637,0,15669637,15669637,0,15669642,15669642,0,15669637,15669637,0,15669637,15669637,0,15669632,15669632,0,15669637,15669637,0,-780925,-780925,0,-780925,-780925,0,-780925,-780925,0,-778012,-778012,0,-780925,-780925,0,-780925,-780925,0,-783838,-783838,0,9936916,9936916,0,15669637,15669637,0,-780925,-780925,0
36,9936354,9936354,0,9936561,9936561,0,9936354,9936354,0,9936354,9936354,0,9936147,9936147,0,9936354,9936354,0,9936354,9936354,0,15655475,15655475,0,15655475,15655475,0,15655480,15655480,0,15655475,15655475,0,15655475,15655475,0,15655470,15655470,0,15655475,15655475,0,-813088,-813088,0,-813088,-813088,0,-813088,-813088,0,-810175,-810175,0,-813088,-813088,0,-813088,-813088,0,-816001,-816001,0,9936354,9936354,0,15655475,15655475,0,-813088,-813088,0
37,9935793,9935793,0,9936000,9936000,0,9935793,9935793,0,9935793,9935793,0,9935586,9935586,0,9935793,9935793,0,9935793,9935793,0,15615467,15615467,0,15615467,15615467,0,15615472,15615472,0,15615467,15615467,0,15615467,15615467,0,15615462,15615462,0,15615467,15615467,0,-845037,-845037,0,-845037,-845037,0,-845037,-845037,0,-842124,-842124,0,-845037,-845037,0,-845037,-845037,0,-847950,-847950,0,9935793,9935793,0,15615467,15615467,0,-845037,-845037,0
38,9935232,9935232,0,9935439,9935439,0,9935232,9935232,0,9935232,9935232,0,9935025,9935025,0,9935232,9935232,0,9935232,9935232,0,15604312,15604312,0,15604312,15604312,0,15604317,15604317,0,15604312,15604312,0,15604312,15604312,0,15604307,15604307,0,15604312,15604312,0,-876875,-876875,0,-876875,-876875,0,-876875,-876875,0,-873962,-873962,0,-876875,-876875,0,-876875,-876875,0,-879788,-879788,0,9935232,9935232,0,15604312,15604312,0,-876875,-876875,0
39,9934670,9934670,0,9934877,9934877,0,9934670,9934670,0,9934670,9934670,0,9934463,9934463,0,9934670,9934670,0,9934670,9934670,0,15601202,15601202,0,15601202,15601202,0,15601207,15601207,0,15601202,15601202,0,15601202,15601202,0,15601197,15601197,0,15601202,15601202,0,-908601,-908601,0,-908601,-908601,0,-908601,-908601,0,-905687,-905687,0,-908601,-908601,0,-908601,-908601,0,-911514,-911514,0,9934670,9934670,0,15601202,15601202,0,-908101,-908101,0
40,9934110,9934110,0,9934317,9934317,0,9934110,9934110,0,9934110,9934110,0,9933903,9933903,0,9934110,9934110,0,9934110,9934110,0,15582305,15582305,0,15582305,15582305,0,15582310,15582310,0,15582305,15582305,0,15582305,15582305,0,15582300,15582300,0,15582305,15582305,0,-940165,-940165,0,-940165,-940165,0,-940165,-940165,0,-937252,-937252,0,-940166,-940166,0,-940165,-940165,0,-943079,-943079,0,9934110,9934110,0,15582305,15582305,0,-941165,-941165,0
41,9933548,9933548,0,9933755,9933755,0,9933548,9933548,0,9933548,9933548,0,9933341,9933341,0,9933548,9933548,0,9933548,9933548,0,15613096,15613096,0,15613096,15613096,0,15613101,15613101,0,15613096,15613096,0,15613096,15613096,0,15613091,15613091,0,15613096,15613096,0,-971722,-971722,0,-971721,-971721,0,-971722,-971722,0,-968808,-968808,0,-971722,-971722,0,-971722,-971722,0,-974635,-974635,0,9933548,9933548,0,15613096,15613096,0,-970722,-970722,0
42,9932986,9932986,0,9933193,9933193,0,9932986,9932986,0,9932986,9932986,0,9932779,9932779,0,9932986,9932986,0,9932986,9932986,0,15603651,15603651,0,15603651,15603651,0,15603656,15603656,0,15603651,15603651,0,15603651,15603651,0,15603646,15603646,0,15603651,15603651,0,-1003116,-1003116,0,-1003116,-1003116,0,-1003116,-1003116,0,-1000203,-1000203,0,-1003116,-1003116,0,-1003116,-1003116,0,-1006030,-1006030,0,9932986,9932986,0,15603651,15603651,0,-1003616,-1003616,0
43,9932426,9932426,0,9932633,9932633,0,9932426,9932426,0,9932426,9932426,0,9932219,9932219,0,9932426,9932426,0,9932426,9932426,0,15564958,15564958,0,15564958,15564958,0,15564963,15564963,0,15564958,15564958,0,15564958,15564958,0,15564953,15564953,0,15564958,15564958,0,-1034302,-1034302,0,-1034302,-1034302,0,-1034302,-1034302,0,-1031389,-1031389,0,-1034302,-1034302,0,-1034302,-1034302,0,-1037215,-1037215,0,9932426,9932426,0,15564958,15564958,0,-1034302,-1034302,0
